ISO3,Name,Predicted_2019_Sensitivity,Method,Observations
AFG,Afghanistan,0.5303802595938529,ar1_trend,24
ALB,Albania,0.30113776376798407,ar1_trend,24
DZA,Algeria,0.3208185778467333,ar1_trend,24
AND,Andorra,,last_value,0
AGO,Angola,0.2714428290694722,ar1_trend,24
ATG,Antigua and Barbuda,0.33841011311698843,ar1_trend,24
ARG,Argentina,0.30406182943854154,ar1_trend,24
ARM,Armenia,0.3564871613562308,ar1_trend,24
AUS,Australia,0.1867558314380699,ar1_trend,24
AUT,Austria,0.2944930836395128,ar1_trend,24
AZE,Azerbaijan,0.3495283903320849,ar1_trend,24
BHS,Bahamas,0.33773517630945527,ar1_trend,24
BHR,Bahrain,0.49415684805515747,ar1_trend,24
BGD,Bangladesh,0.4476480815241466,ar1_trend,24
BRB,Barbados,0.3675818452748886,ar1_trend,24
BLR,Belarus,0.33012875670134867,ar1_trend,24
BEL,Belgium,0.41790561997503023,ar1_trend,24
BLZ,Belize,0.41990494841543824,ar1_trend,24
BEN,Benin,0.5800459907665642,ar1_trend,24
BTN,Bhutan,0.3207698752137493,ar1_trend,24
BOL,"Bolivia, Plurinational State of",0.3146907490513484,ar1_trend,24
BIH,Bosnia and Herzegovina,0.2605983904775541,ar1_trend,24
BWA,Botswana,0.412182921360568,ar1_trend,24
BRA,Brazil,0.2672125414459415,ar1_trend,24
BRN,Brunei Darussalam,0.2016428974732603,ar1_trend,24
BGR,Bulgaria,0.2996284785456084,ar1_trend,24
BFA,Burkina Faso,0.4163497669637302,ar1_trend,24
BDI,Burundi,0.5082590845352236,ar1_trend,24
KHM,Cambodia,0.43621996547730013,ar1_trend,24
CMR,Cameroon,0.34427206819254874,ar1_trend,24
CAN,Canada,0.21059072817129657,ar1_trend,24
CPV,Cape Verde,0.3425182761281498,ar1_trend,24
CAF,Central African Republic,0.5367464157197446,ar1_trend,24
TCD,Chad,0.5583852902148725,ar1_trend,24
CHL,Chile,0.2503298049629428,ar1_trend,24
CHN,China,0.32081887230499784,ar1_trend,24
COL,Colombia,0.20837158636741357,ar1_trend,24
COM,Comoros,0.4053635613402194,ar1_trend,24
COG,Congo,0.35922549210971166,ar1_trend,24
COD,"Congo, the Democratic Republic o",0.45046947216585903,ar1_trend,24
CRI,Costa Rica,0.25444701963705246,ar1_trend,24
CIV,Cote d'Ivoire,0.3740013370664078,ar1_trend,24
HRV,Croatia,0.3263882321473261,ar1_trend,24
CUB,Cuba,0.29103549881533564,ar1_trend,24
CYP,Cyprus,0.34383389277094045,ar1_trend,24
CZE,Czech Republic,0.3004074811492805,ar1_trend,24
DNK,Denmark,0.3295798593310398,ar1_trend,24
DJI,Djibouti,0.3985126982284151,ar1_trend,24
DMA,Dominica,0.24560094093570062,ar1_trend,24
DOM,Dominican Republic,0.31637603477325266,ar1_trend,24
ECU,Ecuador,0.28724583475276894,ar1_trend,24
EGY,Egypt,0.5102068759920757,ar1_trend,24
SLV,El Salvador,0.3274345939063946,ar1_trend,24
GNQ,Equatorial Guinea,0.2718017219313254,ar1_trend,24
ERI,Eritrea,0.5151865983094803,ar1_trend,24
EST,Estonia,0.25697728329150427,ar1_trend,24
ETH,Ethiopia,0.4454849635684191,ar1_trend,24
FJI,Fiji,0.29672115184981496,ar1_trend,24
FIN,Finland,0.23700989071759715,ar1_trend,24
FRA,France,0.2780360188723058,ar1_trend,24
GAB,Gabon,0.23811212276635546,ar1_trend,24
GMB,Gambia,0.5246275770460281,ar1_trend,24
GEO,Georgia,0.3143429525136984,ar1_trend,24
DEU,Germany,0.31363324957452043,ar1_trend,24
GHA,Ghana,0.4025231024748651,ar1_trend,24
GRC,Greece,0.32938715401512453,ar1_trend,24
GRD,Grenada,0.23012357911243572,ar1_trend,24
GTM,Guatemala,0.35315500761116175,ar1_trend,24
GIN,Guinea,0.37741819103305185,ar1_trend,24
GNB,Guinea-Bissau,0.6185619018170037,ar1_trend,24
GUY,Guyana,0.39124125297002377,ar1_trend,24
HTI,Haiti,0.4416809952277525,ar1_trend,24
HND,Honduras,0.3843406363134626,ar1_trend,24
HUN,Hungary,0.3790838753898297,ar1_trend,24
